,Event Name,Time,Description,Register
0,Little Ones - Recorded Storytime,"Wed, Jun 10, 10:30am - 9:00pm",Recorded storytime for children ages 12-24 months. Enjoy this week's video via our playlist at youtube.com/user/CarmelClayLibrary.,
1,Library Babies - Recorded Storytime,"Thu, Jun 11, 10:30am - 9:00pm",Recorded storytime for children ages 0-12 months. Enjoy this week's video via our playlist at youtube.com/user/CarmelClayLibrary.,
2,Tales for 2s & 3s - Recorded Storytime,"Mon, Jun 15, 10:30am - 9:00pm",Recorded storytime for children ages 2-3.  Enjoy this week's video via our playlist at youtube.com/user/CarmelClayLibrary.,
3,Book Buddies - Recorded Storytime,"Tue, Jun 16, 10:30am - 9:00pm",Recorded storytime for children ages 4-6. Enjoy this week's video via our playlist at youtube.com/user/CarmelClayLibrary.,
4,Little Ones - Recorded Storytime,"Wed, Jun 17, 10:30am - 9:00pm",Recorded storytime for children ages 12-24 months. Enjoy this week's video via our playlist at youtube.com/user/CarmelClayLibrary.,
5,Library Babies - Recorded Storytime,"Thu, Jun 18, 10:30am - 9:00pm",Recorded storytime for children ages 0-12 months. Enjoy this week's video via our playlist at youtube.com/user/CarmelClayLibrary.,
6,Carmel Community Blood Drive,"Fri, Jun 19, 9:00am - 12:00pm",Give blood at the Versiti Blood Center of Indiana's Blood Mobile in the Carmel Clay Public Library parking lot. Appointments are required.,
7,Carmel Film Forum - Stop Motion Animation Celebration (2-part webinar),"Sat, Jun 20, 2:00pm - 4:00pm","Professional animator Lisa Barcy will teach animation techniques employing drawing, paper cut-outs, and 3D objects. Registration is required for this two-part online event.","<button class=""button eventRegButton registerForEvent"" data-eventid=""4314576"" data-locationid=""2286"" data-max_attendee=""95"" data-recurringid=""1716747"" data-regtype=""1"" data-total_registrants=""63"">Register</button>"
8,Tales for 2s & 3s - Recorded Storytime,"Mon, Jun 22, 10:30am - 9:00pm",Recorded storytime for children ages 2-3.  Enjoy this week's video via our playlist at youtube.com/user/CarmelClayLibrary.,
9,Book Buddies - Recorded Storytime,"Tue, Jun 23, 10:30am - 9:00pm",Recorded storytime for children ages 4-6. Enjoy this week's video via our playlist at youtube.com/user/CarmelClayLibrary.,
10,ScienceTellers - Dragons: Return of the Ice Sorceress,"Tue, Jun 23, 6:30pm - 7:15pm",N/A,"<button class=""button eventRegButton registerForEvent"" data-eventid=""4370847"" data-locationid=""2286"" data-max_attendee=""100"" data-recurringid=""1724645"" data-regtype=""1"" data-total_registrants=""0"" disabled="""">Register</button>"
11,Little Ones - Recorded Storytime,"Wed, Jun 24, 10:30am - 9:00pm",Recorded storytime for children ages 12-24 months. Enjoy this week's video via our playlist at youtube.com/user/CarmelClayLibrary.,
12,Library Babies - Recorded Storytime,"Thu, Jun 25, 10:30am - 9:00pm",Recorded storytime for children ages 0-12 months. Enjoy this week's video via our playlist at youtube.com/user/CarmelClayLibrary.,
13,Carmel Film Forum - Stop Motion Animation Celebration (2-part webinar),"Sat, Jun 27, 2:00pm - 4:00pm","Professional animator Lisa Barcy will teach animation techniques employing drawing, paper cut-outs, and 3D objects. Registration is required for this two-part online event.","<button class=""button eventRegButton registerForEvent"" data-eventid=""4314577"" data-locationid=""2286"" data-max_attendee=""95"" data-recurringid=""1716747"" data-regtype=""1"" data-total_registrants=""50"">Register</button>"
14,Crafty Book Recommendations Continues - Submissions accepted June 1–July 31,"Tue, Jun 30, All day",Create and share photos of a craft or art piece that represents a book you've enjoyed. This online volunteer opportunity is open to all interested teens in grades 6-12.,
15,Teen Quaranzine Project Continues - Submissions accepted June 1–July 31,"Tue, Jun 30, All day",Submit an art or writing project that expresses your experiences during the COVID-19 pandemic. Open to all teens in grades 6-12.,
